repo,fix_period,BIC_sha,BIC_time,BIC_files_count,BIC_file_changes,BFC_sha,BFC_time,BFC_files_count,BFC_file_changes
redis/redis,3219,9d520a7f,2013-07-16T13:05:13Z,1,8,c2d8d4e648faa172a65a88fcffaf4ccc10a1ad78,2022-05-10T11:55:09Z,1,4
redis/redis,867,052e03495f,2019-03-14T16:06:59Z,1,18,b458b2999b749950c5ea9468cfa5ab74782848c3,2021-07-29T09:11:29Z,1,12
redis/redis,54,d827dbf,2016-03-11T20:22:36Z,1,9,971e3c51b63e7a5ced6a953bdfd2d9bd53b25e52,2016-05-05T09:33:43Z,2,39
obsproject/obs-studio,1353,dc4e20500,2017-03-27T16:01:13Z,2,12,df4eb8219cfcd8b74a14e3caabd56bf0f648faea,2020-12-10T10:45:31Z,1,2
obsproject/obs-studio,0,d7848f3cb74,2015-11-15T17:43:39Z,1,9,14bfa071688cdf36a8efa8543b0e8e2902fabf2f,2015-11-16T16:22:55Z,1,8
mpv-player/mpv,332,e2284fba1,2024-01-10T23:43:12Z,4,54,4747865fefbc057e0c7998c361fe41ca2e9d9d4f,2024-12-08T23:39:44Z,1,23
mpv-player/mpv,2868,a714f8e928,2016-03-05T11:45:54Z,1,2,0f2370476b4279040261878c601fb8015a8502d7,2024-01-11T13:54:25Z,1,7
mpv-player/mpv,28,1f8013ff3fddd788a517656e09f5ce5d7efd928d,2023-07-15T19:20:27Z,2,42,221a574a503604fbda6f25f171852d99e49de06b,2023-08-13T18:59:45Z,1,2
mpv-player/mpv,19,2e7fcc5a2,2023-07-01T07:03:11Z,1,2,2dc8e70093d9f80a01696f059ff02784bcb7b5f0,2023-07-20T17:31:30Z,1,15
mpv-player/mpv,327,d07b7f0,2019-12-16T01:32:17Z,4,59,873ae0de2af3bb84a11e5e57f6e3a8942b2263c2,2020-11-08T00:36:26Z,4,88
facebook/zstd,17,bb68062c590dbd46905907dd2a63a658040a79d4,2016-10-18T23:08:52Z,5,32,dc904ad17bf608db483f6187bdbcd5ed43fea88d,2016-11-04T23:18:59Z,2,4
micropython/micropython,450,35fb90bd57e1a3259aaf67cede50628da6888485,2021-09-20T04:04:08Z,1,17,fd1e66edb3ef479016dbcc5aa7158d8fdfec5793,2022-12-14T04:38:48Z,1,13
micropython/micropython,151,70affd9ba22e7f62666a9a2fafc2a3c0be9ef95a,2020-04-13T18:56:31Z,14,48,b31cb21a3936b97af4a52b082e1f40c2061aeab7,2020-09-12T03:47:59Z,1,4
valkey-io/valkey,3219,9d520a7f,2013-07-16T13:05:13Z,1,8,c2d8d4e648faa172a65a88fcffaf4ccc10a1ad78,2022-05-10T11:55:09Z,1,4
valkey-io/valkey,867,052e03495f,2019-03-14T16:06:59Z,1,18,b458b2999b749950c5ea9468cfa5ab74782848c3,2021-07-29T09:11:29Z,1,12
valkey-io/valkey,54,d827dbf,2016-03-11T20:22:36Z,1,9,971e3c51b63e7a5ced6a953bdfd2d9bd53b25e52,2016-05-05T09:33:43Z,2,39
swaywm/sway,2,662466e8db773926bf61b21280194a3540ae26ec,2018-10-22T14:02:08Z,2,14,f7aed5c7e596bc2f03426d6a91214123000d7ed7,2018-10-25T07:32:16Z,1,4
swaywm/sway,0,5967ee1fbcba66ea57d971b924a51209a70d3aaa,2018-09-06T10:20:29Z,1,2,5896781df45405d41545e6227f6749ee862e05ce,2018-09-06T11:15:24Z,1,7
glfw/glfw,67,2c204ab52ecaa51bfd32b777aef715dae937f009,2022-05-05T20:23:12Z,7,71,fd7e737216dfdcecd4522b7d8c8dd2439d3dac3b,2022-07-12T09:44:37Z,1,2
glfw/glfw,11,fe57e3c2921a1901390534e1e51053df70b5644b,2020-01-01T15:56:32Z,3,44,9372ba95faabd1bb45280d201d6ccdae77bf872e,2020-01-12T16:18:21Z,1,7
glfw/glfw,436,72ac5badb0a188b0d912b1e4fa79a5e143253474,2016-08-18T15:47:54Z,8,25,a1154247fad6ebd1e109e4cdbc32b93266646835,2017-10-29T14:52:22Z,1,11
glfw/glfw,42,8597002a177beb56db09cd1a9fca0025687dc706,2017-04-05T01:41:12Z,2,98,2023095d8e63e50fb48f28d1d5643591eec19124,2017-05-17T20:10:24Z,1,4
glfw/glfw,0,4d146cb39d,2015-02-22T16:31:32Z,2,3,c43f0829936203adf2e6d42d3697e43c47092a07,2015-02-23T04:14:24Z,2,3
libsdl-org/SDL,0,919cd56b20c59249bdde3bb005aeeb8f6550f3e3,2023-12-21T03:05:20Z,14,69,a2e05480d63cac530269c846422e7de3b44e830f,2023-12-21T13:11:32Z,1,8
jqlang/jq,0,9760245,2015-01-14T00:57:35Z,2,6,cca3e92854db2a8d8059cf31bb1c74657065024f,2015-01-14T21:50:15Z,2,6
jqlang/jq,0,9760245,2015-01-14T00:57:35Z,2,6,4d05dc55a374c076d6d3837a09246a4f4cc694c3,2015-01-14T11:24:27Z,2,6
jqlang/jq,0,8ca07a0,2014-12-24T06:01:43Z,1,2,1cdcff1c01ff4681f8d73ec4ba9689a702c4c17a,2014-12-24T08:24:53Z,1,2
jonas/tig,265,2a8ef0ffbc6c52270c9ce60d16dcf2c544428f92,2024-05-15T20:48:52Z,2,27,e4e63b9dc9ba5c48ee26c06ca168e32c7b5c08be,2025-02-05T17:58:21Z,2,10
jonas/tig,185,328ecea246928661045cec741503df695b2dd81a,2013-09-04T23:23:29Z,2,86,a3f39c5f3e1e92a59bac05498e8622be1819f922,2014-03-09T04:30:23Z,1,2
jonas/tig,1,80e97cdd456dfe71d0dbf32d77a73bb5a2ab158e,2010-09-19T15:09:41Z,2,10,f7efb4dad86bc0317f18817d243c5d7b015cdbd6,2010-09-21T12:38:11Z,2,3
OpenVPN/openvpn,0,5f6c01ea6172ed,2015-05-31T20:41:58Z,1,5,8ceb9619a26f8c507bafbc6d59aed3f65a30455d,2015-06-01T17:15:14Z,1,2
OpenVPN/openvpn,3,db950be85d37,2015-05-20T02:33:20Z,4,99,970c4bd2e473f625699bd56db44c1970a9e10ed9,2015-05-23T17:35:05Z,1,24
rsyslog/rsyslog,57,9ac56b286,2024-09-15T13:24:28Z,1,12,9bc4c49d0705db2656a56fe14a5a2cfe3f6c9ac2,2024-11-12T09:54:00Z,1,1
rsyslog/rsyslog,50,2d15cbc8221e385c5aa821e4a851d7498ed81850,2018-09-20T08:39:47Z,3,89,9e520b07a554c30b63e76e87f7cee63050ccc1a4,2018-11-09T14:04:28Z,1,2
limine-bootloader/limine,0,25e1194,2021-09-01T21:34:31Z,1,5,411d735e919d59432b017a3f9568cbd7280ae329,2021-09-02T15:34:59Z,1,28
limine-bootloader/limine,0,25e1194,2021-09-01T21:34:31Z,1,5,62198ba1b04a5d3c5a64943cfe481e6bffd11f4d,2021-09-02T09:53:43Z,1,28
chocolate-doom/chocolate-doom,163,b0585fa6,2015-12-25T12:33:59Z,1,2,0cd3b7e5f8634468676b3b6ff1a525837bf3de2d,2016-06-05T15:45:26Z,1,2
openzfs/zfs,70,64c688d,2016-10-05T21:47:29Z,1,33,7bb1325f95d0c11a2145ff99ae15057adfbae0ac,2016-12-14T22:18:53Z,1,38
openzfs/zfs,378,b39c22b,2015-06-25T19:42:51Z,1,10,e6603b7c1fc7ac01f8891b11df34d943812153e9,2016-07-08T15:33:01Z,5,88
openzfs/zfs,10,1715493,2016-01-01T13:15:31Z,3,9,b858767a31bc80cc9a65d1e7af70213916bfa34a,2016-01-11T21:33:28Z,1,2
openwall/john,0,00655ad63,2017-11-09T06:25:25Z,1,19,790d23b24b78b07c26c299ac7adbc100a108d9ef,2017-11-09T07:14:22Z,1,5
openwall/john,3,be39643,2016-09-29T19:17:21Z,1,2,cb9a35eb023a9ed208fc1b87dc9c78132fb17653,2016-10-03T17:26:03Z,1,2
openwall/john,2,0a026d5,2016-01-12T15:46:01Z,1,83,6d2afb2a9a2734585983c8ecee0796e444da50b0,2016-01-15T00:20:43Z,1,8
openwall/john,16,f6af7d7,2015-03-11T16:47:26Z,1,9,c0e334a1f4ac3230a55bf3c471fc4c821994eaa6,2015-03-27T20:13:55Z,1,9
openwall/john,0,6c1b599,2014-11-21T22:33:22Z,8,45,f02231c42abec510fd9c0914792b940b3075a056,2014-11-21T22:52:39Z,1,2
openwall/john,0,f5366a2,2014-11-21T15:09:03Z,10,69,2603301665a16e029225d79b75b4f56b63a48685,2014-11-21T15:59:08Z,1,2
openwall/john,902,11e5191,2012-02-01T22:52:56Z,1,29,15949eb054300264b3d2f5de242fc1ca84b65ae7,2014-07-23T12:12:12Z,1,4
libgit2/libgit2,43,20a2b02d9a1bcb4825ec49605146223c565dcacf,2018-04-18T17:23:40Z,1,24,05e891f1f1bad3e2729a2e3800b314d5b63d43eb,2018-06-01T06:44:30Z,1,8
jemalloc/jemalloc,181,d412624b25eed2b5c52b7d94a71070d3aab03cb4,2015-12-09T17:00:57Z,1,36,c7d52980275b22f64c672ebaede28dc95d4f1820,2016-06-07T21:30:39Z,1,6
jemalloc/jemalloc,12,594c759f37c301d0245dc2accf4d4aaf9d202819,2015-09-02T21:52:24Z,4,84,708ed79834fc3b8e5b14dbb0128a0ebfce63a38f,2015-09-15T06:48:11Z,6,68
jemalloc/jemalloc,1297,9c43c13a35220c10d97a886616899189daceb359,2011-03-18T17:53:15Z,1,3,f11a6776c78a09059f8418b718c996a065b33fca,2014-10-05T20:05:10Z,1,13
i3/i3,0,7154fecbb,2011-03-06T14:45:42Z,4,39,8ce5f2a21bfc2194a0cca1da223778bcb29872af,2011-03-06T21:02:02Z,1,6
betaflight/betaflight,8,c06fd78b834582349e1aaed07f582ae0c9fd3462,2014-10-28T15:49:02Z,1,2,db36cfe12e70171c8d986b8587e2183dad0dc156,2014-11-05T19:39:13Z,6,28
htop-dev/htop,1,74b28849c4ee7234aa6018667ff6c8c9a6b41273,2023-10-10T12:17:48Z,1,17,4ef3e1f1bb014cec9504e5247d0a0ad999597b9d,2023-10-11T16:46:48Z,1,21
fontforge/fontforge,84,36554a668c7cf3445a5e9eae0cffb675d20395e4,2016-04-29T21:13:44Z,9,31,a18865e9a215639ce1e7e229387dac87c87c5002,2016-07-23T19:50:42Z,7,33
Airblader/i3,0,7154fecbb,2011-03-06T14:45:42Z,4,39,8ce5f2a21bfc2194a0cca1da223778bcb29872af,2011-03-06T21:02:02Z,1,6
ravynsoft/ravynos,72,e582d4a2b09e,2023-02-10T14:26:53Z,1,96,7623cc8f65ab1b28690d4a6580ae87b7926ed008,2023-04-23T17:30:44Z,1,9
ravynsoft/ravynos,24,555a861d6826,2022-10-08T00:08:14Z,1,73,8b19898a78d52b351f4d7a6ad1d8b074d037e3b7,2022-11-01T17:44:39Z,1,19
ravynsoft/ravynos,147,26c29e743bbdbb82762540f72d4bc449bae2e092,2020-11-02T15:01:37Z,1,15,88024c4a520bf762cf4154d730ad9784ed2acd90,2021-03-30T09:42:50Z,1,15
ravynsoft/ravynos,2,e0a0a3ef,2021-01-30T06:11:24Z,2,58,d6f9c5a6d2f87865f9714d2b8dfd1a9f3080c71e,2021-02-01T07:56:22Z,1,18
ravynsoft/ravynos,2,e0a0a3ef,2021-01-30T06:11:24Z,2,58,10625515ad47b52f38c13f4f1d8f8c848e9df4ee,2021-02-01T07:56:22Z,3,76
ravynsoft/ravynos,70,64c688d,2016-10-05T21:47:29Z,1,33,7bb1325f95d0c11a2145ff99ae15057adfbae0ac,2016-12-14T22:18:53Z,1,38
ravynsoft/ravynos,378,b39c22b,2015-06-25T19:42:51Z,1,10,e6603b7c1fc7ac01f8891b11df34d943812153e9,2016-07-08T15:33:01Z,5,88
ravynsoft/ravynos,10,1715493,2016-01-01T13:15:31Z,3,9,b858767a31bc80cc9a65d1e7af70213916bfa34a,2016-01-11T21:33:28Z,1,2
mozilla/mozjpeg,107,300a344d653d4a8779706e42828d945c6a53ff9d,2023-07-30T15:02:29Z,1,3,837e471a90e79b37cb4f7ef9950321f48c7c5f41,2023-11-14T16:17:25Z,2,38
mozilla/mozjpeg,297,479501b07c0afd8912a0e0f5b4740cfce9a89a4c,2019-01-21T19:57:55Z,2,23,c0b16e3d2b35b5b5d805832fcfa615300c6e345b,2019-11-15T19:29:11Z,2,10
mozilla/mozjpeg,545,a09ba29a55b9a43d346421210d94370065eeaf53,2016-09-07T21:40:10Z,2,24,c743009717878cb22a5434c798dae5d3879d6ca2,2018-03-06T22:10:14Z,2,5
mozilla/mozjpeg,11,dfefba77520ded5c5fd4864e76352a5f3eb23e74,2016-09-22T19:19:29Z,2,10,a0047bdea4d11dfeefb9ea797865b1a2ea0a665e,2016-10-04T18:25:34Z,1,2
mozilla/mozjpeg,14,a09ba29a55b9a43d346421210d94370065eeaf53,2016-09-07T21:40:10Z,2,24,dfefba77520ded5c5fd4864e76352a5f3eb23e74,2016-09-22T19:19:29Z,2,10
axboe/fio,14,8c43ba62,2017-08-21T21:15:00Z,1,9,323876fbe897cf5748d94826380d7d907ebbee17,2017-09-05T14:43:28Z,1,25
axboe/fio,10,8c43ba62,2017-08-21T21:15:00Z,1,9,d33db728d79386d544be93c24f4e3383f2a47143,2017-09-01T12:24:23Z,1,9
haproxy/haproxy,164,64c9c8e,2023-12-11T16:31:31Z,2,31,c16eba8183a0f362cd7d72beba3080ecf5449c87,2024-05-24T11:55:41Z,2,17
haproxy/haproxy,81,2462e5bcc,2024-02-22T14:14:21Z,2,21,9d4a44e7137fba2c7ca2823174ba1168290a1c3b,2024-05-13T14:24:10Z,1,1
haproxy/haproxy,699,c55015e,2018-09-07T17:02:32Z,2,32,efc5a9d55ba46a934f1474802b90c679461ebc92,2020-08-07T12:48:37Z,1,2
haproxy/haproxy,24,85888573,2020-02-27T13:48:35Z,1,5,f4f14eacd37e9de47bf9ecfbbd04a68baf6617ee,2020-03-23T09:31:47Z,1,45
haproxy/haproxy,8,b90d2cb,2020-02-18T14:27:32Z,1,25,858885737c1d2672d5b1ba80a58c0bb585a0b981,2020-02-27T13:48:35Z,1,5
haproxy/haproxy,5,44b3532,2019-10-17T14:28:40Z,1,53,541a534c9f64c505380b936ff15ce91a8179dfa0,2019-10-23T12:11:54Z,1,4
haproxy/haproxy,31,0b3e849,2018-10-26T12:47:44Z,1,6,d913800a7d680fdd7e7864463d5fa936b9d58fa8,2018-11-27T11:02:39Z,1,10
mruby/mruby,181,375d22b,2022-12-06T06:26:24Z,1,13,b47c8b738ae3e400ec02269fae9857222218e9d5,2023-06-05T22:29:41Z,1,14
tianocore/edk2,6,7a0df26,2019-07-10T11:40:05Z,3,64,04dd0cb972cd35f4bf59f5692096a65b840156d5,2019-07-17T03:19:48Z,1,6
tianocore/edk2,23,684db6da64bc7b5faee4e1174e801c245f563b5c,2018-10-16T02:06:12Z,1,16,ade71c52a49d659b20c0b433fb11ddb4f4f543c4,2018-11-08T23:58:16Z,1,6
tianocore/edk2,23,2ec7953d49677142c5f7552e9e3d96fb406ba0c4,2018-10-16T02:06:11Z,1,17,1c4cecc9fd314de0dce8125b0d4b45967637a401,2018-11-08T23:58:15Z,1,6
tianocore/edk2,23,041d89bc0f0119df37a5fce1d0f16495ff905089,2018-10-16T02:06:13Z,2,49,5e45a1fdcfbf9b2b389122eb97475148594625f8,2018-11-08T23:58:14Z,2,12
tianocore/edk2,5,bb685071c2602cf786ea84c69bbebf2158194a38,2018-10-24T03:28:32Z,1,87,61a62fc2587ae4d01718124f28e1ea0e60375902,2018-10-29T08:20:44Z,1,2
tianocore/edk2,5,0c9f2cb10b7ddec56a3440e77219fd3ab1725e5c,2018-04-02T22:40:24Z,1,25,e037e88cd81d4ac63dd627719c87c305bf0b439e,2018-04-08T01:27:35Z,1,6
tianocore/edk2,12,0a28d02d9fb5293757c507e592a4d0404a7ecf74,2016-06-30T01:57:23Z,2,8,c882bdc6712314f255c92d7c951eaf9760a9de38,2016-07-12T01:58:46Z,1,2
tianocore/edk2,7,cd64301398876d0b3700f882b3eea12657510a70,2016-06-08T07:35:16Z,5,57,0c687d02c76592832de73850e1dc81115311318a,2016-06-16T06:11:49Z,1,4
gluster/glusterfs,65,2ca6441,2015-05-19T11:54:45Z,1,6,63ad603542044e473118d33bcc02f121c86beaa7,2015-07-23T12:41:23Z,1,15
RfidResearchGroup/proxmark3,0,8543db11b59f34ca120a1e6eea7f5b43adee8dac,2023-07-19T19:46:20Z,1,15,89cbe3c7df34f7a98828c56d2f6d1dea2a1d5d07,2023-07-20T08:54:37Z,1,3
libjpeg-turbo/libjpeg-turbo,107,300a344d653d4a8779706e42828d945c6a53ff9d,2023-07-30T15:02:29Z,1,3,837e471a90e79b37cb4f7ef9950321f48c7c5f41,2023-11-14T16:17:25Z,2,38
libjpeg-turbo/libjpeg-turbo,297,479501b07c0afd8912a0e0f5b4740cfce9a89a4c,2019-01-21T19:57:55Z,2,23,c0b16e3d2b35b5b5d805832fcfa615300c6e345b,2019-11-15T19:29:11Z,2,10
libjpeg-turbo/libjpeg-turbo,545,a09ba29a55b9a43d346421210d94370065eeaf53,2016-09-07T21:40:10Z,2,24,c743009717878cb22a5434c798dae5d3879d6ca2,2018-03-06T22:10:14Z,2,5
libjpeg-turbo/libjpeg-turbo,11,dfefba77520ded5c5fd4864e76352a5f3eb23e74,2016-09-22T19:19:29Z,2,10,a0047bdea4d11dfeefb9ea797865b1a2ea0a665e,2016-10-04T18:25:34Z,1,2
libjpeg-turbo/libjpeg-turbo,14,a09ba29a55b9a43d346421210d94370065eeaf53,2016-09-07T21:40:10Z,2,24,dfefba77520ded5c5fd4864e76352a5f3eb23e74,2016-09-22T19:19:29Z,2,10
varnishcache/varnish-cache,8,eabe58bc6633012dd01ba8f2a131f4e8cd351b2e,2021-05-25T10:39:38Z,6,72,3730f544db89ab487c0e0e775969edf9c12f63b6,2021-06-03T06:39:32Z,5,13
varnishcache/varnish-cache,2,c1352b0b0ece8028317c838751d9042a55347cd5,2021-01-08T15:17:52Z,2,35,05356fb7c6c10d3ddd9766f474da679046922422,2021-01-11T12:18:09Z,2,8
varnishcache/varnish-cache,158,340abd0456e4,2019-06-03T07:22:10Z,4,19,46a6a3af681644f43e2e813ee68f8bd53b4cd1bb,2019-11-08T18:10:48Z,2,18
DPDK/dpdk,188,b10231aed1ed,2020-06-18T08:15:55Z,1,25,a91fb48a8c248293f1035cdd8b36ad712ae9478f,2020-12-23T14:15:49Z,1,2
